"loc_id";"ciclovia_rango_inv_proy";"highway_rango_inv_proy";"censo2_rango_proy";"green_areas_rango_inv_proy";"mall_rango_inv_proy";"school_rango_inv_proy";"sport_rango_inv_proy";"tourism_rango_inv_proy";"ues_rango_inv_proy";"X";"Y";"optional"
290;0.912513554096222;0.948089718818665;0.74327152967453;0.937123656272888;0.94438225030899;0.978964388370514;0.811178505420685;0.979282557964325;0.964007079601288;-73.05820267;-36.82333052;TRUE
291;0.91196084022522;0.92542964220047;0.746616005897522;0.929787397384644;0.935767769813538;0.974875032901764;0.820254147052765;0.973565995693207;0.964780330657959;-73.05849804;-36.82283355;TRUE
292;0.913078367710114;0.908896028995514;0.750564575195312;0.94922935962677;0.926015377044678;0.993380963802338;0.829238414764404;0.960829377174377;0.958707988262177;-73.05882623;-36.82230844;TRUE
293;0.927417933940887;0.907355904579163;0.751482963562012;0.973884046077728;0.915810883045197;0.996452629566193;0.833491086959839;0.964951694011688;0.9495450258255;-73.0591638;-36.82177396;TRUE
294;0.940476536750793;0.909644663333893;0.754209637641907;0.994555234909058;0.906899154186249;0.994087219238281;0.838114798069;0.975971102714539;0.936996161937714;-73.05946386;-36.82128636;TRUE
295;0.955939769744873;0.907002568244934;0.755722939968109;0.996407389640808;0.895719826221466;0.977000296115875;0.838520586490631;0.981936037540436;0.921869993209839;-73.05980143;-36.82075188;TRUE
296;0.969608902931213;0.916666090488434;0.757423758506775;0.993348062038422;0.885864555835724;0.958965659141541;0.837037742137909;0.974409937858582;0.907516717910767;-73.06011556;-36.82027366;TRUE
297;0.985243201255798;0.936564266681671;0.758783519268036;0.975841224193573;0.874414622783661;0.938073039054871;0.832103729248047;0.959631443023682;0.890738666057587;-73.06047657;-36.81970635;TRUE
298;0.992589056491852;0.977435708045959;0.470675557851791;0.964678466320038;0.97681587934494;0.825879216194153;0.97207772731781;0.988326907157898;0.853427648544312;-73.0568007;-36.83411986;TRUE
299;0.999526560306549;0.970402300357819;0.49039563536644;0.92145448923111;0.963533699512482;0.849321782588959;0.953818917274475;0.981628715991974;0.863756000995636;-73.05743304;-36.83320456;TRUE
300;0.972703516483307;0.986926198005676;0.774822533130646;0.917038917541504;0.966806948184967;0.935231626033783;0.924778997898102;0.948717832565308;0.982558488845825;-73.04263486;-36.82620555;TRUE
301;0.956237614154816;0.963761508464813;0.752577722072601;0.945472061634064;0.954677522182465;0.919062495231628;0.922561049461365;0.956957399845123;0.963345170021057;-73.04183422;-36.82638357;TRUE
302;0.969262301921844;0.958722293376923;0.729686796665192;0.971718668937683;0.943292200565338;0.903904974460602;0.914764881134033;0.974661469459534;0.96020382642746;-73.0411003;-36.82654972;TRUE
303;0.982835948467255;0.972835719585419;0.70731920003891;0.995985925197601;0.932578921318054;0.89081609249115;0.904827833175659;0.991113662719727;0.976408541202545;-73.04040321;-36.82672099;TRUE
304;0.915100395679474;0.987547814846039;0.816851019859314;0.97617107629776;0.879576981067657;0.934219717979431;0.938255786895752;0.930428922176361;0.830214858055115;-73.05668115;-36.81814239;TRUE
305;0.912700295448303;0.965214312076569;0.819965362548828;0.95350182056427;0.889510273933411;0.917464435100555;0.948638558387756;0.939349770545959;0.840300977230072;-73.05639752;-36.81864193;TRUE
306;0.905993342399597;0.943308115005493;0.824558079242706;0.929119765758514;0.900309145450592;0.921188175678253;0.956834316253662;0.955724358558655;0.847711086273193;-73.05604581;-36.81914146;TRUE
307;0.899095773696899;0.948238432407379;0.828806579113007;0.905810475349426;0.910570442676544;0.934586346149445;0.955353975296021;0.970931172370911;0.854475498199463;-73.05573948;-36.81965916;TRUE
308;0.889386057853699;0.945652067661285;0.832549452781677;0.903558313846588;0.92231273651123;0.9466832280159;0.945332407951355;0.987761914730072;0.860041737556458;-73.05537137;-36.82020563;TRUE
309;0.880052328109741;0.946813404560089;0.833901405334473;0.922230839729309;0.932685613632202;0.953337967395782;0.931265115737915;0.991876363754272;0.863834917545319;-73.05503538;-36.82066882;TRUE
310;0.869414985179901;0.938212633132935;0.833345949649811;0.939310729503632;0.943827509880066;0.973307549953461;0.913266062736511;0.977671205997467;0.866545677185059;-73.05474108;-36.82123039;TRUE
311;0.859359204769135;0.943728148937225;0.832406222820282;0.945747494697571;0.953086853027344;0.988494396209717;0.908392548561096;0.96424788236618;0.865832805633545;-73.05443475;-36.82165725;TRUE
312;0.845685005187988;0.971246242523193;0.82722145318985;0.947202444076538;0.965643763542175;0.995161950588226;0.913683116436005;0.944779574871063;0.864116787910461;-73.05408304;-36.82228391;TRUE
313;0.869588553905487;0.979805707931519;0.81523060798645;0.932821393013;0.983869552612305;0.979405045509338;0.90969330072403;0.926078855991364;0.874166011810303;-73.05351427;-36.82320024;TRUE
